股票代码,股票名称,评分,信号数量,信号详情,最新收盘价
002109,兴化股份,9,9,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",3.93
600032,浙江新能,8,8,"KDJ超卖金叉, 价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入, ATR低波动确认",7.57
600076,康欣新材,8,8,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, OBV资金流入, ATR低波动确认",2.91
002588,史丹利,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",9.56
002234,民和股份,7,7,"价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",8.84
000686,东北证券,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",8.72
002458,益生股份,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入",8.62
002909,集泰股份,7,7,"价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",6.62
002746,仙坛股份,7,7,"价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入, ATR低波动确认",6.23
002012,凯恩股份,7,7,"价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",5.76
300157,新锦动力,7,7,"价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",5.08
002567,唐人神,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入",4.84
002092,中泰化学,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入",4.75
300370,安控科技,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",3.13
002285,世联行,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",2.47
002357,富临运业,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",9.97
300281,金明精机,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",7.58
000703,恒逸石化,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",6.99
600163,中闽能源,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入",5.3
002172,澳洋健康,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",4.27
